0.45,0.40,0.35,0.25,0.20,0.15,0.10,0.05,0.025,0.01,0.005,0.0005
1,0.1584,0.3249,0.5095,1.0000,1.3764,1.9626,3.0777,6.3138,12.7062,31.8205,63.6567,636.6192
2,0.1421,0.2887,0.4447,0.8165,1.0607,1.3862,1.8856,2.9200,4.3027,6.9646,9.9248,31.5991
3,0.1366,0.2767,0.4242,0.7649,0.9785,1.2498,1.6377,2.3534,3.1824,4.5407,5.8409,12.9240
4,0.1338,0.2707,0.4142,0.7407,0.9410,1.1896,1.5332,2.1318,2.7764,3.7469,4.6041,8.6103
5,0.1322,0.2672,0.4082,0.7267,0.9195,1.1558,1.4759,2.0150,2.5706,3.3649,4.0321,6.8688
6,0.1311,0.2648,0.4043,0.7176,0.9057,1.1342,1.4398,1.9432,2.4469,3.1427,3.7074,5.9588
7,0.1303,0.2632,0.4015,0.7111,0.8960,1.1192,1.4149,1.8946,2.3646,2.9980,3.4995,5.4079
8,0.1297,0.2619,0.3995,0.7064,0.8889,1.1081,1.3968,1.8595,2.3060,2.8965,3.3554,5.0413
9,0.1293,0.2610,0.3979,0.7027,0.8834,1.0997,1.3830,1.8331,2.2622,2.8214,3.2498,4.7809
10,0.1289,0.2602,0.3966,0.6998,0.8791,1.0931,1.3722,1.8125,2.2281,2.7638,3.1693,4.5869
11,0.1286,0.2596,0.3956,0.6974,0.8755,1.0877,1.3634,1.7959,2.2010,2.7181,3.1058,4.4370
12,0.1283,0.2590,0.3947,0.6955,0.8726,1.0832,1.3562,1.7823,2.1788,2.6810,3.0545,4.3178
13,0.1281,0.2586,0.3940,0.6938,0.8702,1.0795,1.3502,1.7709,2.1604,2.6503,3.0123,4.2208
14,0.1280,0.2582,0.3933,0.6924,0.8681,1.0763,1.3450,1.7613,2.1448,2.6245,2.9768,4.1405
15,0.1278,0.2579,0.3928,0.6912,0.8662,1.0735,1.3406,1.7531,2.1314,2.6025,2.9467,4.0728
16,0.1277,0.2576,0.3923,0.6901,0.8647,1.0711,1.3368,1.7459,2.1199,2.5835,2.9208,4.0150
17,0.1276,0.2573,0.3919,0.6892,0.8633,1.0690,1.3334,1.7396,2.1098,2.5669,2.8982,3.9651
18,0.1274,0.2571,0.3915,0.6884,0.8620,1.0672,1.3304,1.7341,2.1009,2.5524,2.8784,3.9216
19,0.1274,0.2569,0.3912,0.6876,0.8610,1.0655,1.3277,1.7291,2.0930,2.5395,2.8609,3.8834
20,0.1273,0.2567,0.3909,0.6870,0.8600,1.0640,1.3253,1.7247,2.0860,2.5280,2.8453,3.8495
21,0.1272,0.2566,0.3906,0.6864,0.8591,1.0627,1.3232,1.7207,2.0796,2.5176,2.8314,3.8193
22,0.1271,0.2564,0.3904,0.6858,0.8583,1.0614,1.3212,1.7171,2.0739,2.5083,2.8188,3.7921
23,0.1271,0.2563,0.3902,0.6853,0.8575,1.0603,1.3195,1.7139,2.0687,2.4999,2.8073,3.7676
24,0.1270,0.2562,0.3900,0.6848,0.8569,1.0593,1.3178,1.7109,2.0639,2.4922,2.7969,3.7454
25,0.1269,0.2561,0.3898,0.6844,0.8562,1.0584,1.3163,1.7081,2.0595,2.4851,2.7874,3.7251
26,0.1269,0.2560,0.3896,0.6840,0.8557,1.0575,1.3150,1.7056,2.0555,2.4786,2.7787,3.7066
27,0.1268,0.2559,0.3894,0.6837,0.8551,1.0567,1.3137,1.7033,2.0518,2.4727,2.7707,3.6896
28,0.1268,0.2558,0.3893,0.6834,0.8546,1.0560,1.3125,1.7011,2.0484,2.4671,2.7633,3.6739
29,0.1268,0.2557,0.3892,0.6830,0.8542,1.0553,1.3114,1.6991,2.0452,2.4620,2.7564,3.6594
30,0.1267,0.2556,0.3890,0.6828,0.8538,1.0547,1.3104,1.6973,2.0423,2.4573,2.7500,3.6460
31,0.1267,0.2555,0.3889,0.6825,0.8534,1.0541,1.3095,1.6955,2.0395,2.4528,2.7440,3.6335
32,0.1267,0.2555,0.3888,0.6822,0.8530,1.0535,1.3086,1.6939,2.0369,2.4487,2.7385,3.6218
33,0.1266,0.2554,0.3887,0.6820,0.8526,1.0530,1.3077,1.6924,2.0345,2.4448,2.7333,3.6109
